Vendor,SKU,Asset Type,Asset Sub Type,Description,Model
StarTech.com,USB2VGAE3,Consumable,Adapter,StarTech.com USB to VGA Adapter Multi Monitor External Graphics Video Card,StarTech.com USB to VGA Adapter Multi Monitor External Graphics Video Card
StarTech.com,USB31000S2,Consumable,Adapter,StarTech.com USB 3.0 to Gigabit Ethernet Network Adapter - GbE NIC Dongle,StarTech.com USB 3.0 to Gigabit Ethernet Network Adapter - GbE NIC Dongle
StarTech.com,USB315C5C6,Consumable,Cable,,
StarTech.com,USB31CAADP,Consumable,Adapter,StarTech.com 6” USB C to USB Adapter USB 3.0 Type C Dongle - USB-IF Cert,StarTech.com 6” USB C to USB Adapter USB 3.0 Type C Dongle - USB-IF Cert
StarTech.com,USB32DVIPRO,Consumable,Cable,,
StarTech.com,USB32HD4,Consumable,Adapter,"StarTech.com USB 3.0 to 4 HDMI Adapter, Quad Monitor External Graphics Card","StarTech.com USB 3.0 to 4 HDMI Adapter, Quad Monitor External Graphics Card"
StarTech.com,USB32HDDVII,Consumable,External Graphics Card,,
StarTech.com,USB32HDPRO,Consumable,Adapter,StarTech.com USB 3.0 to HDMI Adapter - External Graphics Card for Mac & PC,StarTech.com USB 3.0 to HDMI Adapter - External Graphics Card for Mac & PC
StarTech.com,USB32VGAV,Consumable,Adapter,StarTech.com USB 3.0 to VGA Adapter - Multi Monitor External Graphics Card,StarTech.com USB 3.0 to VGA Adapter - Multi Monitor External Graphics Card
StarTech.com,USB32VGAPRO,Consumable,Adapter,StarTech.com USB 3.0 to VGA Adapter - External Graphics Card for Mac and PC,StarTech.com USB 3.0 to VGA Adapter - External Graphics Card for Mac and PC
StarTech.com,USB3SDOCKHD,Consumable,Dock,"Dual Monitor USB 3.0 Docking Station with HDMI, DVI, 6x USB",
StarTech.com,USBBT1EDR4,Consumable,Adapter,,
StarTech.com,UUSBHAUB3,Consumable,Cable,StarTech.com 3ft Micro USB Cable - A to Micro B - 3ft Micro USB Cable,StarTech.com 3ft Micro USB Cable - A to Micro B - 3ft Micro USB Cable
StarTech.com,VGA2HDU,Consumable,Cable,,
StarTech.com,WALL-WORKSTATION-S,Consumable,Mounting Hardware,"StarTech.com Wall Mount Workstation, Full Motion Sit Stand Desk w/ Height Adjustable VESA Monitor Arm & Keyboard Tray, Ergonomic Wall Mounted Computer Workstation, Single 27""/32"" Display - Mounting kit (wall plate, column, keyboard tray, monitor arm, VESA monitor mount) - sit-stand workstation - for LCD display / PC equipment - foldable - aluminum, steel - silver - screen size: up to 27"" / 34"" (ultra-wide) - wall-mountable",StarTech.com Wall Mount Workstation
StarTech.com,WKSTNCM2,Consumable,Cable,StarTech.com 15' / 4.6 m Cable Management Sleeve - Trimmable Fabric - Cord,
SUSE,874-006844,,,Linux Enterprise,
