Vendor,SKU,Asset Type,Asset Sub Type,Description,Model
1-OFF SOFTWARE ONLY,P-239-1-12,,,ShareGate,
3M,414H-LONG-DC,Consumable,Cable,,
3M,AG19.0,Consumable,Accessory,"3M™ AG19.0 Anti-Glare Filter for Standard Desktop LCD Monitor 19""",
3M,HCNMS002,Consumable,Accessory,3M™ High Clarity Privacy Filter for Microsoft® Surface™ Laptop 13.5 in with COMPLY™ Attachment System,
3M,PF19.0W,Consumable,Accessory,3M PF19.0W - 19 inch Privacy Filter for Widescreen LCD Desktop Monitors,
3M,PF190C4B,Consumable,Monitor Accessories,"3M Privacy Filter for 19"" Monitors 5:4 - Display privacy filter - 19"" - black","3M Privacy Filter for 19"" Monitors 5:4"
3M,PF190W1B,Consumable,Accessory,3M Black Privacy Filter for 19 in Monitor,
3M,PF200W9B,Consumable,Accessory,3M™ Black Privacy Filter for 20 in Monitor,
3M,PF20.0W9,Consumable,Accessory,"3M Privacy Filter, For LCD Monitor, Fits, 20"", Black",
3M,PF215W9B,Consumable,Display,"3M™ Privacy Filter for 21.5"" Widescreen Monitor",
3M,PF238W9B,Consumable,Accessory,"3M Privacy Filter for 23.8"" Monitors 16:9 - Display privacy filter - 23.8"" wide - black","3M Privacy Filter for 23.8"" Monitors 16:9 - Display privacy filter - 23.8"" wide - black"
3M,PF220W1B,Consumable,Accessory,3M Black Privacy Filter for 22 in Monitor,
3M,PF24.0W,Consumable,Accessory,"3M Widescreen Privacy LCD Filter 24.0"" Widescreen Privacy LCD",
3M,PF270W9B,Consumable,Monitor Accessories,"3M Privacy Filter for 27"" Monitors 16:9 - Display privacy filter - 27"" wide - black","3M Privacy Filter for 27"" Monitors 16:9"
3M,PF240W9B,Consumable,Accessory,"3M Privacy Filter for 24"" Monitors 16:9 - Display privacy filter - 24"" wide - black","3M Privacy Filter for 24"" Monitors 16:9 - Display privacy filter - 24"" wide - black"
3M,SJ3551,Consumable,Accessory,3M Dual Lock - Self-adhesive reclosable fastener,3M Dual Lock - Self-adhesive reclosable fastener
4XEM,4XHDMIMM50FT,Consumable,Cable,,
4XEM,4XUSBCDISPADAPT,Consumable,Cable,4XEM USB / DisplayPort cable - 25.4 cm,4XEM USB / DisplayPort cable - 25.4 cm
Absolute,A8636456,,,DDS Professional,
Acer,PS.VBGP3.003,Computer,Desktop,Veriton N281G USFF Atom D425 1.8GHz/512KB/2GB/500GB/abgn/GNIC/W7P,Veriton N281G
Acer,NX.K06AA.001,Computer,Laptop,"Acer Chromebook Enterprise 314 C934 - 14"" - Intel Pentium Silver - N6000 -",314 C934
Acer,UM.CB2AA.004,PeripheralDevice,Monitor,"Acer CB342CU semiphuzx - CB2 Series - LED monitor - 34"" - 3440 x 1440 UWQHD @ 75 Hz - IPS - 400 cd/m? - 1000:1 - DisplayHDR 400 - 1 ms - HDMI, DisplayPort, USB-C - speakers - silver",CB342CU 
Acer,UM.CV6AA.B02,Consumable,Display,"Acer V196L - LED monitor - 19"" - 1280 x 1024 SXGA @ 75 Hz - TN - 250 cd/m² - 5 ms - VGA - black",V196L
Acer,UM.FV6AA.003,Consumable,Display,"Acer V246HL bd UM.FV6AA.003 24"" 1920 x 1080 60 Hz D-Sub, DVI LCD Monitor",V246HL
Acer,UM.HB2AA.005,PeripheralDevice,Monitor,"Acer CB272U smiiprx - LED monitor - 27"" - HDR",CB272U smiiprx
Acer,UM.HB3AA.E02,PeripheralDevice,Monitor,"Acer Vero CB3 CB273U E 27"" Class WQHD LED Monitor - 16 9 - Black",UM.HB3AA.E02
Acer,UM.HB7AA.A03,Consumable,Display,"Acer Vero B7 27"" 2560x1440 Display Monitor - TAA Compliant","Acer Vero B7 27"" 2560x1440 Display Monitor - TAA Compliant"
Acer,UM.HT2AA.002,Consumable,Display,"Acer T272HUL - LED monitor - 27""",T272HUL
Acer,UM.HB7AA.E03,PeripheralDevice,Monitor,"Acer Vero B277U Ebmiiprzx - B7 Series - LED monitor - 27"" -", UM.HB7AA.E03
Acer,UM.HB2AA.304,PeripheralDevice,Monitor,"Acer Vero CB272U E3bmiiprx - CB2 Series - LED monitor - QHD - 27"" - HDR",CB272U E3bmiiprx
Acer,UM.HV1AA.001,Consumable,Display,"Acer VA271 - LED monitor - Full HD (1080p) - 27""",VA271
Acer,UM.HV6AA.C01,Consumable,Display,"Acer V276HL - LED monitor - Full HD (1080p) - 27""",V276HL
Acer,UM.HV7AA.003,PeripheralDevice,Monitor,"Acer V277U - LED monitor - 27""",V277U
Acer,UM.HV7AA.E06,Consumable,Display,"Acer Vero V277U Ebmiipx - V7 Series - LED monitor - 27"" - HDR",UM.HV7AA.E06
Acer,UM.HV7AA.G05,Consumable,Display,"Acer Vero V277U G 27"" Class LCD Monitor - 16 9 - Black","Acer Vero V277U G 27"" Class LCD Monitor - 16 9 - Black"
Acer,UM.HV7AA.L01,Consumable,Display,"Acer Vero V277K Lbmiipx - V7 Series - LCD monitor - 4K - 27"" - HDR",V277K
Acer,UM.IV6AA.A02,Consumable,Display,"Acer V206HQL - LED monitor - 19.5""",V206HQL
Acer,UM.JB2AA.003,Consumable,Display,"Acer CB322QK 32"" Class 4K UHD LCD Monitor - 16 9",
Acer,UM.JX0AA.302,PeripheralDevice,Monitor,"Acer Nitro XZ320QK P3bmiiphx - XZ0 Series - LED monitor - curved - 32"" - HD",XZ320QK
Acer,UM.MD1AA.001,PeripheralDevice,Monitor,ACER DM431K 43IN 3840X2160 LED MON,DM431K
Acer,UM.SE1AA.P01,Consumable,Display,"Acer EI491CR 49"" 3840x1080 Curved LED Gaming Monitor",
Acer,UM.PB2AA.001,PeripheralDevice,Monitor,"Acer CB282K smiiprx - LED monitor - 4K - 28"" - HDR",CB282K smiiprx
Acer,UM.PB7AA.003,PeripheralDevice,Monitor,"Acer B287K bmiiprzx - LED monitor - 4K - 28"" - HDR",B287K bmiiprzx
Acer,UM.UV6AA.C01,Consumable,Display,"Acer UM.UV6AA.C01 V246HQL 23.6"" LED LCD Monitor - 16:9 - 5 msNEW 1920 x 1080 - 16.7 Million Colors - 300 Nit - 100,000,000:1 - Full HD - DVI - VGA - Black - EPEAT Gold, TCO Certified Displays 6.0",V246HQL
Acer,UM.WV6AA.B01,Consumable,Display,"Acer V226HQL - LED monitor - Full HD (1080p) - 21.5""",V226HQL
Acer,UM.UX6AA.B05,Consumable,Display,"ACER 24"" 1080 60HZ K2 SERIES (3707919)",K242HQL
Adata,AUV128-16G-RBE,Consumable,Flash Drive,"16GB DashDrive UV128 USB 3.0 Flash Drive, Black/Blue",DashDrive UV128
AdaCore,X86WIN,,,,
Adesso,AKB-110B,Consumable,Keyboard,Adesso EasyTouch 110 Wired Mini Keyboard,Adesso EasyTouch 110 Wired Mini Keyboard
Adesso,AKB-111UB,Consumable,Keyboard,,
Adesso,B087B-003J,Consumable,Adapter,UltraAV Mini DisplayPort to DVI-D Adapter,UltraAV Mini DisplayPort to DVI-D Adapter
Adesso,AKB-222UB,Consumable,Keyboard,Adesso Antimicrobial Waterproof Flex Keyboard (Compact Size),Adesso Antimicrobial Waterproof Flex Keyboard (Compact Size)
Adesso,CYBERTRACK H4,Consumable,Webcam,"Adesso CyberTrack H4 - Webcam - color - 2.1 MP - 1920 x 1080 - 1080p - audio - wired - USB 2.0 - MJPEG, YUV2",CyberTrack H4
Adesso,CYBERTRACKH3,Consumable,Webcam,"Adesso CyberTrack CyberTrack H3 Webcam - 1.3 Megapixel - 30 fps - Black, Re","Adesso CyberTrack CyberTrack H3 Webcam - 1.3 Megapixel - 30 fps - Black, Re"
Adesso,CYBERTRACKH4,Consumable,Webcam,Adesso CyberTrack H4 - web camera,Adesso CyberTrack H4 - web camera
Adesso,IMOUSE W3,Consumable,Mouse,Adesso iMouse W3 - Mouse - right-handed - optical - 4 buttons - wired - USB,iMouse W3
Adesso,IMOUSEM300W,Consumable,Mouse,Adesso iMouse M300W - Bluetooth Optical Mouse,
Adesso,IMOUSEW3,Consumable,Mouse,Adesso iMouse W3 - Mouse - right-handed - optical - 4 buttons - wired - USB,iMouse W3
Adobe,09946082AD01A24,,,,
Adobe,10405327,,,Photoshop,
Adobe,12020032,,,Acrobat Professional,
Adobe,12020327,,,Acrobat Professional,
Adobe,12020350,,,Acrobat Professional,
Adobe,12020758FA,,,Acrobat Professional,
Adobe,12020387,,,Acrobat Professional,
Adobe,13101630,,,Photoshop,
Adobe,13102071,,,Photoshop,
Adobe,13102124,,,Photoshop,
Adobe,16001028,,,Illustrator,
Adobe,1575,,,Creative Suite Design and Web Premium,
Adobe,18030170,,,Creative Suite Standard,
Adobe,18040177,,,Creative Suite Premium,
Adobe,18040290,,,Creative Suite Premium,
Adobe,19250011,,,Photoshop Lightroom,
Adobe,19250014,,,Photoshop Lightroom,
Adobe,19500007,,,Creative Suite Design Premium,
Adobe,22001201,,,Acrobat,
Adobe,22001438,,,Acrobat,
Adobe,22001440,,,Acrobat,
Adobe,22001586,,,Acrobat Standard,
Adobe,22001617,,,Acrobat Standard,
Adobe,22001594,,,Acrobat Standard,
Adobe,22001618,,,Acrobat Standard,
Adobe,22001650DM,,,Acrobat Standard,
Adobe,22001979,,,Acrobat Standard,
Adobe,22001991DM,,,Acrobat Standard,
Adobe,22001980,,,Acrobat Standard,
Adobe,22001999DM,,,Acrobat Standard,
Adobe,22001993DM,,,Acrobat Standard,
Adobe,22002142DM,,,Acrobat Standard,
Adobe,22002174,,,Acrobat Standard,
Adobe,22002169,,,Acrobat Standard,
Adobe,22002418,,,Acrobat Standard,
Adobe,22002184,,,Acrobat Standard,
Adobe,22011000,,,Audition,
Adobe,22002433,,,Acrobat Standard,
Adobe,22011369AA00A00,,,Audition,
Adobe,22011369AB00A00,,,Audition,
Adobe,22011369AC00A00,,,Audition,
Adobe,22011369AD00A00,,,Audition,
Adobe,22011369AE00A00,,,Audition,
Adobe,22011369AF00A00,,,Audition,
Adobe,22011372AB00A00,,,Audition,
Adobe,22011372AA00A00,,,Audition,
Adobe,22011372AC00A00,,,Audition,
Adobe,22011372AD00A00,,,Audition,
Adobe,22011372AE00A00,,,Audition,
Adobe,22020031,,,Acrobat Professional,
Adobe,22011372AF00A00,,,Audition,
Adobe,22020032,,,Acrobat Professional,
Adobe,22020061,,,Acrobat Professional,
Adobe,22020061DM,,,Acrobat Professional,
Adobe,22020133DM,,,Acrobat Professional,
Adobe,22020214,,,Acrobat Professional,
Adobe,22020213,,,Acrobat Professional,
Adobe,22020215,,,Acrobat Professional,
Adobe,22020224DM,,,Acrobat Professional,
Adobe,22020360DM,,,Acrobat Professional,
Adobe,22020380,,,Acrobat Professional,
Adobe,22020440,,,Acrobat Professional,
Adobe,22020403,,,Acrobat Professional,
Adobe,22020737,,,Acrobat Professional,
Adobe,22070005,,,After Effects,
Adobe,22020772,,,Acrobat Professional,
Adobe,22070088,,,After Effects,
Adobe,22070095,,,After Effects,
Adobe,23101335,,,Photoshop,
Adobe,23101337,,,Photoshop,
Adobe,23101604,,,Photoshop,
Adobe,23101623,,,Photoshop,
Adobe,23101610,,,Photoshop,
Adobe,23101764,,,Photoshop,
Adobe,23101784,,,Photoshop,
Adobe,23101932DM,,,Photoshop,
Adobe,23102097DM,,,Photoshop,
Adobe,23101981DM,,,Photoshop,
Adobe,23102101DM,,,Photoshop,
Adobe,23102103DM,,,Photoshop,
Adobe,23102149,,,Photoshop,
Adobe,23102150,,,Photoshop,
Adobe,23102173,,,Photoshop,
Adobe,23102152,,,Photoshop,
Adobe,23102176,,,Photoshop,
Adobe,23102411,,,Photoshop,
Adobe,23102416,,,Photoshop,
Adobe,23102470,,,Photoshop,
Adobe,23102480,,,Photoshop,
Adobe,23200455,,,GoLive,
Adobe,23102611,,,Photoshop,
Adobe,26000945,,,Illustrator,
Adobe,26000946,,,Illustrator,
Adobe,26001108,,,Illustrator,
Adobe,26001109,,,Illustrator,
Adobe,26001113,,,Illustrator,
Adobe,26001116,,,Illustrator,
Adobe,26001360,,,Illustrator,
Adobe,26001361,,,Illustrator,
Adobe,26001364,,,Illustrator,
Adobe,26001367DM,,,Illustrator,
Adobe,26001500,,,Illustrator,
Adobe,26001502,,,Illustrator,
Adobe,26001516,,,Illustrator,
Adobe,26001553DM,,,Illustrator,
Adobe,26001551DM,,,Illustrator,
Adobe,26001550DM,,,Illustrator,
Adobe,26001690,,,Illustrator,
Adobe,26001648,,,Illustrator,
Adobe,27510542,,,InDesign,
Adobe,27510605DM,,,InDesign,
Adobe,27510557,,,InDesign,
Adobe,27510546,,,InDesign,
Adobe,27510735DM,,,InDesign,
Adobe,27510747DM,,,InDesign,
Adobe,27510754,,,InDesign,
Adobe,27530341,,,PageMaker,
Adobe,27511045DM,,,InDesign,
Adobe,27530363,,,PageMaker,
Adobe,27530402,,,PageMaker,
Adobe,27530379,,,PageMaker,
Adobe,27530422DM,,,PageMaker,
Adobe,27910345,,,FrameMaker,
Adobe,27910385,,,FrameMaker,
Adobe,27910386,,,FrameMaker,
Adobe,27910435,,,FrameMaker,
Adobe,28030165,,,Creative Suite Standard,
Adobe,27910436,,,FrameMaker,
Adobe,28030170,,,Creative Suite Standard,
Adobe,28030210,,,Creative Suite Standard,
Adobe,28030211,,,Creative Suite Premium,
Adobe,28030226,,,Creative Suite Standard,
Adobe,28030275DM,,,Creative Suite Standard,
Adobe,28040177,,,Creative Suite Premium,
Adobe,28040178,,,Creative Suite Premium,
Adobe,28040290,,,Creative Suite Premium,
Adobe,28040306,,,Creative Suite Premium,
Adobe,28040331,,,Creative Suite Premium,
Adobe,28040500,,,Creative Suite Premium,
Adobe,28101148,,,PhotoDeluxe Home Edition,
Adobe,29230115,,,Photoshop Elements,
Adobe,29230255,,,Photoshop Elements,
Adobe,29230721,,,Photoshop Elements,
Adobe,29260000,,,GoLive,
Adobe,29270027DM,,,Creative Suite Web Premium,
Adobe,29300008,,,Creative Suite Design Standard,
Adobe,29270042DM,,,Creative Suite Web Premium,
Adobe,29300135,,,Creative Suite Design Standard,
Adobe,29300183DM,,,Creative Suite Design Premium,
Adobe,29400027DM,,,Photoshop Extended,
Adobe,29500007,,,Creative Suite Design Premium,
Adobe,29500237DM,,,Creative Suite Design Premium,
Adobe,29500333DM,,,Creative Suite Design Premium,
Adobe,29500334,,,Creative Suite Design Premium,
Adobe,29500614DM,,,Creative Suite Design Premium,
Adobe,29700032DM,,,Creative Suite Web Premium,
Adobe,30001846CB04A12,,,Acrobat Pro for Teams,
Adobe,37900625,,,FrameMaker,
Adobe,37900677,,,FrameMaker,
Adobe,37900677AA00A00,,,FrameMaker,
Adobe,37900677AC00A00,,,FrameMaker,
Adobe,37900677AB00A00,,,FrameMaker,
Adobe,37900677AD00A00,,,FrameMaker,
Adobe,37900677AF00A00,,,FrameMaker,
Adobe,37900677AE00A00,,,FrameMaker,
Adobe,37900682AB00A00,,,FrameMaker,
Adobe,37900682AA00A00,,,FrameMaker,
Adobe,37900682,,,FrameMaker,
Adobe,37900682AC00A00,,,FrameMaker,
Adobe,37900682AE00A00,,,FrameMaker,
Adobe,37900682AD00A00,,,FrameMaker,
Adobe,37900692,,,FrameMaker,
Adobe,37900682AF00A00,,,FrameMaker,
Adobe,37900695,,,FrameMaker,
Adobe,37900698,,,FrameMaker,
Adobe,37900701,,,FrameMaker,
Adobe,38000511,,,Flash,
Adobe,38001280DM,,,Flash,
Adobe,38002604HS,,,Macromedia Studio,
Adobe,38003003HS,,,RoboHelp,
Adobe,38003298AA01A00,,,FreeHand,
Adobe,38003193TS,,,Flash,
Adobe,38003426TR,,,Dreamweaver,
Adobe,38003426AU,,,Dreamweaver,
Adobe,38003597AU,,,ColdFusion Enterprise,
Adobe,38003597AV,,,ColdFusion Enterprise,
Adobe,38003635AT,,,Captivate,
Adobe,38007647AS,,,Captivate,
Adobe,38019023DG,,,RoboHelp,
Adobe,38017356,,,Contribute,
Adobe,38023017,,,RoboHelp,
Adobe,38037046AT,,,Captivate,
Adobe,38037080AS,,,Captivate,
Adobe,38037046TS,,,Captivate,
Adobe,38040101AV,,,Visual Communicator,
Adobe,38044576FA,,,Presenter,
Adobe,38039440DM,,,Flash Professional,
Adobe,38044586,,,Presenter,
Adobe,38044588FA,,,Presenter,
Adobe,38044584,,,Presenter,
Adobe,38044588JA,,,Presenter,
Adobe,38048141F2,,,Web Content Management,
Adobe,38046092FA,,,Connect Meeting Host,
Adobe,38046094FA,,,Connect Meeting Host,
Adobe,47060202AA03A00,,,Font Folio,
Adobe,47910004,,,FrameMaker,
Adobe,49230059,,,Photoshop Elements,
Adobe,49230201,,,Photoshop Elements,
Adobe,54010294TB,,,Acrobat,
Adobe,54010295TB,,,Acrobat,
Adobe,54010295TX,,,Acrobat,
Adobe,54010692TB,,,Photoshop Elements,
Adobe,54010837TB,,,PageMaker,
Adobe,54010881TB,,,PageMaker,
Adobe,54011070TB,,,Illustrator,
Adobe,54011999TA,,,Photoshop,
Adobe,54012009TB,,,Photoshop,
Adobe,54012010TB,,,Photoshop,
Adobe,54012808TS,,,Illustrator,
Adobe,54012801TS,,,Illustrator,
Adobe,54012946TA,,,Acrobat Standard,
Adobe,54012948TA,,,Acrobat Standard,
Adobe,54012946TS,,,Acrobat Standard,
Adobe,54012956TS,,,Acrobat Professional,
Adobe,54012958TT,,,Acrobat Professional,
Adobe,54012958TX,,,Acrobat Professional,
Adobe,54012956TT,,,Acrobat Professional,
Adobe,54013338TT,,,Photoshop,
Adobe,54013338TS,,,Photoshop,
Adobe,54013460TX,,,Photoshop,
Adobe,54013677TX,,,Creative Suite Standard,
Adobe,54013703TX,,,Creative Suite Premium,
Adobe,54013522TX,,,Creative Suite Standard,
Adobe,54013875TS,,,InDesign,
Adobe,54014297AT,,,PageMaker,
Adobe,54014297AV,,,PageMaker,
Adobe,54014297TS,,,PageMaker,
Adobe,54014297TR,,,PageMaker,
Adobe,54014432TS,,,FrameMaker,
Adobe,54014320TS,,,PageMaker,
Adobe,54014898TS,,,After Effects,
Adobe,54016535TS,,,Acrobat Standard,
Adobe,54016536TR,,,Acrobat Standard,
Adobe,54016535TR,,,Acrobat Professional,
Adobe,54016536TS,,,Acrobat Standard,
Adobe,54016536TT,,,Acrobat Standard,
Adobe,54016725AT,,,Acrobat Professional,
Adobe,54016725TS,,,Acrobat Professional,
Adobe,54016725AU,,,Acrobat Professional,
Adobe,54016725TR,,,Acrobat Professional,
Adobe,54016852TS,,,Acrobat Standard,
Adobe,54016882TR,,,Acrobat Standard,
Adobe,54016801TS,,,Acrobat Professional,
Adobe,54016905TS,,,Acrobat Professional,
Adobe,54016883TS,,,Acrobat Professional,
Adobe,54016883TR,,,Acrobat Professional,
Adobe,54017094TS,,,Illustrator,
Adobe,54017096TS,,,Illustrator,
Adobe,54017118TS,,,Illustrator,
Adobe,54017144TS,,,Illustrator,
Adobe,54017120TR,,,Illustrator,
Adobe,54017332TS,,,Creative Suite Premium,
Adobe,54017457TS,,,Creative Suite Standard,
Adobe,54017458TR,,,Creative Suite Standard,
Adobe,54017458TS,,,Creative Suite Standard,
Adobe,54017692TR,,,InDesign,
Adobe,54017692TS,,,InDesign,
Adobe,54017782TS,,,InDesign,
Adobe,54017701AT,,,InDesign,
Adobe,54018104TS,,,InDesign,
Adobe,54018122TR,,,Photoshop,
Adobe,54018122TS,,,InDesign,
Adobe,54018128TR,,,Photoshop,
Adobe,54018146TR,,,Photoshop,
Adobe,54018152TS,,,Photoshop,
Adobe,54018226HS,,,Photoshop,
Adobe,54018226TR,,,Photoshop,
Adobe,54018231TS,,,Photoshop,
Adobe,54020039AU,,,Flex Builder Standard,
Adobe,54020364TR,,,Premiere Elements,
Adobe,54020039AV,,,Flex Builder Standard,
Adobe,54020555AU,,,Acrobat Standard,
Adobe,54020485AT,,,Photoshop Elements,
Adobe,54020555TS,,,Acrobat Standard,
Adobe,54020561AU,,,Acrobat Standard,
Adobe,54020567AS,,,Acrobat Standard,
Adobe,54020567AU,,,Acrobat Standard,
Adobe,54020567TR,,,Acrobat Standard,
Adobe,54020567TS,,,Acrobat Standard,
Adobe,54020587AS,,,Acrobat Standard,
Adobe,54020587GS,,,Acrobat Standard,
Adobe,54020587AV,,,Acrobat Standard,
Adobe,54020587AT,,,Acrobat Standard,
Adobe,54020587TR,,,Acrobat Standard,
Adobe,54020616TS,,,Acrobat Standard,
Adobe,54020587TS,,,Acrobat Standard,
Adobe,54020680AT,,,Acrobat Standard,
Adobe,54020680AS,,,Acrobat Standard,
Adobe,54020680TR,,,Acrobat Standard,
Adobe,54020722AT,,,Acrobat Professional,
Adobe,54020857AS,,,Acrobat Professional,
Adobe,54020831AU,,,Acrobat Professional,
Adobe,54020857AV,,,Acrobat Professional,
Adobe,54020857TR,,,Acrobat Professional,
Adobe,54020857AT,,,Acrobat Professional,
Adobe,54020857TS,,,Acrobat Professional,
Adobe,54020910AU,,,Acrobat Professional,
Adobe,54020950AT,,,Acrobat Professional,
Adobe,54020950TR,,,Acrobat Professional,
Adobe,54020951AS,,,Acrobat Professional,
Adobe,54020951AT,,,Acrobat Professional,
Adobe,54020951TS,,,Acrobat Professional,
Adobe,54021039TR,,,Creative Suite Premium,
Adobe,54021039AT,,,Creative Suite Premium,
Adobe,54021234AS,,,Photoshop Lightroom,
Adobe,54021232AS,,,Photoshop Lightroom,
Adobe,54021288AS,,,Illustrator,
Adobe,54021320AT,,,Illustrator,
Adobe,54021288TR,,,Illustrator,
Adobe,54021288AT,,,Illustrator,
Adobe,54021378AU,,,Creative Suite Master Collection,
Adobe,54021382AT,,,Creative Suite Master Collection,
Adobe,54021330AT,,,Creative Suite Master Collection,
Adobe,54021382TS,,,Creative Suite Master Collection,
Adobe,54021614TS,,,Creative Suite Web Premium,
Adobe,54021614AV,,,Creative Suite Web Standard,
Adobe,54021678AT,,,Creative Suite Web Standard,
Adobe,54021886AT,,,Creative Suite Web Premium,
Adobe,54021886AS,,,Creative Suite Web Premium,
Adobe,54021886TS,,,Creative Suite Web Premium,
Adobe,54021886AV,,,Creative Suite Web Premium,
Adobe,54021971AS,,,Creative Suite Web Premium,
Adobe,54021972AS,,,Creative Suite Web Premium,
Adobe,54021974AS,,,Creative Suite Web Premium,
Adobe,54021973TR,,,Creative Suite Web Premium,
Adobe,54022069AT,,,Flash Professional,
Adobe,54022069TR,,,Flash Professional,
Adobe,54022219AV,,,Photoshop,
Adobe,54022222AU,,,Photoshop,
Adobe,54022225AU,,,Photoshop,
Adobe,54022227TR,,,Photoshop,
Adobe,54022238AS,,,Photoshop,
Adobe,54022228AU,,,Photoshop,
Adobe,54022238AT,,,Photoshop,
Adobe,54022238AV,,,Photoshop,
Adobe,54022319AS,,,Photoshop,
Adobe,54022238TR,,,Photoshop,
Adobe,54022319TR,,,Photoshop,
Adobe,54022445AS,,,Creative Suite Design Premium,
Adobe,54022351AT,,,Photoshop,
Adobe,54022445TS,,,Creative Suite Design Premium,
Adobe,54022446AU,,,Creative Suite Design Premium,
Adobe,54022446TS,,,Creative Suite Design Premium,
Adobe,54022448AU,,,Creative Suite Design Premium,
Adobe,54022553TR,,,Creative Suite Design Premium,
Adobe,54022553TS,,,Creative Suite Design Premium,
Adobe,54022595TS,,,Creative Suite Design Premium,
Adobe,54022976AS,,,Creative Suite Design Premium,
Adobe,54022976TR,,,Creative Suite Design Premium,
Adobe,54023090AS,,,Creative Suite Design Standard,
Adobe,54023090AT,,,Creative Suite Design Standard,
Adobe,54023090TR,,,Creative Suite Design Standard,
Adobe,54023105AS,,,Creative Suite Design Premium,
Adobe,54023091AS,,,Creative Suite Design Standard,
Adobe,54023105AT,,,Creative Suite Design Standard,
Adobe,54023115AT,,,Creative Suite Design Standard,
Adobe,54023115AS,,,Creative Suite Design Standard,
Adobe,54023116AS,,,Creative Suite Design Standard,
Adobe,54023123AS,,,Creative Suite Design Standard,
Adobe,54023124AS,,,Creative Suite Design Standard,
Adobe,54023380AT,,,InDesign,
Adobe,54023380AV,,,InDesign,
Adobe,54023380TR,,,InDesign,
Adobe,54023380TS,,,InDesign,
Adobe,54023439AU,,,InDesign,
Adobe,54023448AT,,,InDesign,
Adobe,54023467TS,,,InDesign,
Adobe,54023709AT,,,Photoshop Extended,
Adobe,54023747AS,,,Photoshop Extended,
Adobe,54023747TR,,,Photoshop Extended,
Adobe,54023790TR,,,Fireworks,
Adobe,54023967TR,,,Contribute,
Adobe,54024010AS,,,Dreamweaver,
Adobe,54024010AT,,,Dreamweaver,
Adobe,54024010AV,,,Dreamweaver,
Adobe,54024010TR,,,Dreamweaver,
Adobe,54024119AT,,,Premiere Pro,
Adobe,54024039AT,,,Dreamweaver,
Adobe,54024347AV,,,Technical Communication Suite,
Adobe,54024468PU,,,Captivate,
Adobe,54024468AT,,,Captivate,
Adobe,54024481AV,,,Captivate,
Adobe,54024510TR,,,Photoshop Elements,
Adobe,54024814AS,,,FrameMaker,
Adobe,54025224AS,,,ColdFusion Enterprise,
Adobe,54025384AA03A00,,,Audition,
Adobe,54025384AA02A00,,,Audition,
Adobe,54025224AT,,,ColdFusion Enterprise,
Adobe,54025384AC02A00,,,Audition,
Adobe,54026179AT,,,Acrobat Standard,
Adobe,54026179AU,,,Acrobat Standard,
Adobe,54026180AU,,,Acrobat Standard,
Adobe,54026197AA03A00,,,Acrobat Standard,
Adobe,54026197AA02A00,,,Acrobat Standard,
Adobe,54026197AD01A00,,,Acrobat Standard,
Adobe,54026197AD02A00,,,Acrobat Standard,
Adobe,54026197AS,,,Acrobat Standard,
Adobe,54026197AT,,,Acrobat Standard,
Adobe,54026197AV,,,Acrobat Standard,
Adobe,54026197TR,,,Acrobat Standard,
Adobe,54026197TS,,,Acrobat Standard,
Adobe,54026280AS,,,Acrobat Standard,
Adobe,54026280AT,,,Acrobat Standard,
Adobe,54026280AD01A00,,,Acrobat Standard,
Adobe,54026280TR,,,Acrobat Standard,
Adobe,54026280AV,,,Acrobat Standard,
Adobe,54026318AV,,,Acrobat Professional,
Adobe,54026336AT,,,Acrobat Professional,
Adobe,54026356AA02A00,,,Acrobat Professional,
Adobe,54026356AA03A00,,,Acrobat Professional,
Adobe,54026356AD01A00,,,Acrobat Professional,
Adobe,54026356AD02A00,,,Acrobat Professional,
Adobe,54026356AS,,,Acrobat Professional,
Adobe,54026356AT,,,Acrobat Professional,
Adobe,54026356PU,,,Acrobat Professional,
Adobe,54026356AV,,,Acrobat Professional,
Adobe,54026356TR,,,Acrobat Professional,
Adobe,54026357PK,,,Acrobat Professional,
Adobe,54026356TS,,,Acrobat Professional,
Adobe,54026357PL,,,Acrobat Professional,
Adobe,54026379FA,,,Acrobat Professional,
Adobe,54026615AS,,,Acrobat Professional,
Adobe,54026385FA,,,Acrobat Professional,
Adobe,54026690AS,,,Acrobat Professional,
Adobe,54026691AA02A00,,,Acrobat Professional,
Adobe,54026690AD01A00,,,Acrobat Professional,
Adobe,54026691AA03A00,,,Acrobat Professional,
Adobe,54026691AD01A00,,,Acrobat Professional,
Adobe,54026691AS,,,Acrobat Professional,
Adobe,54026691AT,,,Acrobat Professional,
Adobe,54026691TR,,,Acrobat Professional,
Adobe,54026713FA,,,Acrobat Professional,
Adobe,54026813AA03A00,,,Acrobat Professional Extended,
Adobe,54026813AT,,,Acrobat Professional Extended,
Adobe,54026813PU,,,Acrobat Professional Extended,
Adobe,54026691AV,,,Acrobat Professional,
Adobe,54027160AV,,,Creative Suite Web Premium,
Adobe,54026962AV,,,Flex Builder Professional,
Adobe,54027173AS,,,Creative Suite Web Premium,
Adobe,54027236AS,,,Acrobat Professional,
Adobe,54027319AS,,,Creative Suite Design Premium,
Adobe,54027319AT,,,Creative Suite Design Premium,
Adobe,54027319TS,,,Creative Suite Design Premium,
Adobe,54027320AV,,,Creative Suite Design Premium,
Adobe,54027407TS,,,Creative Suite Design Premium,
